escalate                           eskalieren
secondary                          zweitrangig
secondary aim                      Nebenzweck
secondary boycott                  indirekter Boykott
secondary education                Hauptschulbildung, Realschulbildung
secondary education                höhere Schulbildung
secondary education                Sekundarausbildung, Sekundarschulwesen
secondary effect                   Nebenwirkung
secondary employment               nicht dauerhaft beschäftigte Arbeitskräfte
secondary labour force             nicht dauerhaft beschäftigte Arbeitskräfte
secondary labour market            sekundärer Arbeitsmarkt
secondary picketing                Streikposten bei nichtbetroffenen Firmen
secondary school                   Schule im Sekundarbereich
secondary school                   Sekundarschule, weiterführende Schule
secondary sector                   sekundärer Wirtschaftssektor
secondary strike                   Sympathiestreik
secondary wage earner              Zweitverdiener
secondary workers                  Personen mit instabilem Arbeitsverhältnis
secondhand                         aus zweiter Hand
secrecy                            Geheimhaltung, Verschwiegenheit
secrecy                            Verschwiegenheit, Geheimhaltung
secrecy of letters                 Briefgeheimnis
secret                             geheim, verborgen
secret agent                       Spion, Geheimagent
secret commission                  unerlaubt ungemeldet einbehaltene Provision
secret component                   geheimer Bestandteil
secret door                        Geheimtür
secret enemy                       geheimer Gegner
secret ingredient                  geheimnisvolle Zutat
secret journal                     geheimes Journal
secret nature                      geheime Eigenart
secret of his health               Geheimnis seiner Gesundheit
secret of nature                   Naturgeheimnis
secret pocket                      Geheimtasche
secret reserve                     geheime Reserve, stille Reserve
secret reserves                    stille Reserven
secret service                     Geheimdienst
secret society                     Geheimbund
secret trust                       geheimes Treuhandverhältnis
secretarial                        die Arbeit des Sekretariats betreffend
secretarial desk                   Sekretärinnenschreibtisch
secretarial job                    Büroarbeit
secretarial work                   Büroarbeit
secretariat                        Sekretariat
secretary                          Sekretär, Sekretärin
secretary general                  Generalsekretär
sect                               Sekte
sectarian                          sektiererisch
section                            Abteilung, Abschnitt, Schnitt
sector                             Abschnitt, Bereich, Sektor, Zweig, Branche
sector of the economy              Wirtschaftssektor
sectoral inflation                 sektorielle Inflation
sectoral mobility                  wirtschaftsfachliche Mobilität
sectoral mobility                  Wirtschaftszweigmobilität
sectoral unemployment              sektorielle Arbeitslosigkeit
secular                            weltlich
secular affairs                    weltliche Angelegenheiten
secularization                     Säkularisierung
secularize                         säkularisieren
secure                             sichern, sicher, geborgen
secure existence                   sichere Existenz, gesicherte Existenz
secure from loss                   sicher vor Verlust
secure income                      sicheres Einkommen, gesichertes Einkommen
secure of victory                  siegesgewiß
secure the name                    Namen feststellen, Namen festhalten
secured by a mortgage              abgesichert durch eine Hypothek
secured credit                     gesichertes Darlehen
secured liabilities                gesicherte Verbindlichkeiten
securities                         Wertpapiere
securities accounting              Effektenbuchhaltung
securities broker                  Effektenhändler
securities department              Effektenabteilung
securities lodged as collateral    lombardierte Wertpapiere
security                           Sicherheit
security against                   Schutz vor
security carrier company           Sicherheitstransportunternehmen
security of employment             Arbeitsplatzsicherheit
security of employment             Sicherheit der Arbeitsplätze vor Entlassung
security of employment             Sicherheit des Arbeitsplatzes
security portfolio                 Wertpapierportefeuille
sedate                             ruhig
sedate manner                      ruhiges Wesen
sedate temper                      gleichmütige Stimmung
sedateness                         Ruhe, Gelassenheit
seduce                             abspenstig machen, verführen
seducer                            Verführer
seduction                          Verführung
see                                sehen
see clearly                        klar erkennen
see from a different angle         aus einem anderen Blickwinkel sehen
see into                           Einblick haben, hineinsehen, verstehen
see-through pack                   Klarsichtpackung
seed                               Same, Saat
seek                               suchen
seek advice                        Rat suchen
seek asylum                        Asyl suchen
seek employment                    Beschäftigung suchen, Arbeit suchen
seek legal advice                  sich rechtlich beraten lassen
seek work                          Arbeit suchen, eine Stelle suchen
seek work                          eine Beschäftigung suchen
seeking work                       arbeitssuchend
seem                               scheinen
seeming                            scheinbar, anscheinend
seer                               Seher
segment                            Segment, Abschnitt, Kreisabschnitt
seizable                           greifbar
seize                              ergreifen, in Besitz nehmen, beschlagnahmen
seize a building                   Gebäude besetzen
seize a passport                   Paß einziehen
seize an idea                      Idee an sich reißen
seize a suggestion                 Anregung aufgreifen
seize goods                        Ware beschlagnahmen
seize power                        Macht ergreifen
seizure                            Ergreifung, Beschlagnahme
seldom                             selten
select                             auswählen
select the point which suits him best den Ort auswählen, der ihm am besten liegt
selected time                      ausgewählter Zeitwert
selection                          Auswahl
selection of personnel             Personalauswahl
selection of risks                 Auswahl von Risiken
selection of samples               Auswahl aus den Mustern
selective                          auswählend, selektiv
selective advertising              gezielte Werbung
selective distribution             Vertrieb durch ausgewählte Kanäle
selective measure                  gezielte Maßnahme, selektive Maßnahme
self-controlled                    automatisch
self-dependent                     selbständig
self-employed                      selbständig
self-employed person               Selbständiger
self-employed workers              Selbständige
self-explanatory                   sich selbst erklärend
self-financing                     Selbstfinanzierung
self-governing bodies              Selbstverwaltungsorgane
self-government                    Selbstverwaltung
self-insurance                     Selbstversicherung
self-management                    Arbeiterselbstverwaltung, Selbstverwaltung
self-preservation                  Selbsterhaltung
self-seal envelope                 selbstklebender Umschlag
self-service                       Selbstbedienung
self-service outlet                Selbstbedienungsladen
self-service shop                  Selbstbedienungsladen
self-service store                 Selbstbedienungsladen
self-sufficiency                   Autarkie, wirtschaftliche Unabhängigkeit
self-sufficient                    autark, unabhängig
sell                               verkaufen
sell abroad                        ins Ausland verkaufen
sell an interest                   einen Anteil am Geschäft verkaufen
sell at a high price               zu hohem Preis verkaufen
sell at a loss                     mit Verlust verkaufen
sell at a low price                zu niedrigem Preis verkaufen
sell at a profit                   mit Gewinn verkaufen
sell at best                       bestens verkaufen
sell at cost                       zum Selbstkostenpreis verkaufen
sell at retail                     im Einzelhandel verkaufen
sell at wholesale                  im Großhandel verkaufen
sell badly                         sich schlecht verkaufen
sell below cost                    unter Selbstkosten verkaufen
sell best                          sich bestens verkaufen
sell by auction                    versteigern
sell by description                nach Beschreibung verkaufen
sell by pattern                    Nach Ausfallmuster verkaufen
sell by sample                     nach Muster verkaufen
sell by the kilo                   kiloweise verkaufen
sell by the piece                  stückweise verkaufen
sell by weight                     nach Gewicht verkaufen
sell cheap                         billig verkaufen
sell direct                        direkt verkaufen
sell dirt cheap                    verschleudern
sell for cash                      gegen bar verkaufen
sell for ready money               gegen bar verkaufen
sell insurance                     Versicherung verkaufen
sell off                           ausverkaufen
sell on a commission basis         auf Kommissionsbasis verkaufen
sell on commission                 in Kommission verkaufen
sell on credit                     auf Kredit verkaufen
sell on inspection                 nach Besichtigung verkaufen
sell on the spot                   am Ort verkaufen
sell to the trade only             nur an Wiederverkäufer verkaufen
sell well                          sich gut verkaufen
seller                             Verkäufer
sellers' competition               Konkurrenz unter Verkäufern
sellers' duties                    Verkäuferpflichten
sellers' market                    Verkäufermarkt
selling                            Verkaufen, Verkauf, verkaufend
selling agent                      Handelsvertreter, Verkaufsvertreter
selling broker                     Verkaufsmakler, Verkaufsvertreter
selling campaign                   Verkaufskampagne
selling capacity                   Vertriebskapazität
selling commission                 Verkaufsprovision
selling conditions                 Absatzverhältnisse, Marktsituation
selling costs                      Vertriebskosten
selling expenditure                Verkaufsaufwand
selling expenses                   Verkaufsspesen
selling experience                 Verkaufserfahrung
selling floor                      Verkaufsraum
selling price                      Abgabepreis
selling price ex works             Fabrikabgabepreis
selling process                    Verkaufsvorgang, Verkaufsablauf
selling rate                       Verkaufskurs
selling value                      Verkaufswert
semblance                          Ähnlichkeit
semi-annual                        halbjährlich
semi-annual interest               halbjährliche Zinsen
semi-annual premium                Halbjahresprämie
semi-bold                          halbfett
semi-circular                      halbkreisförmig
semi-colon                         Strichpunkt
semi-fabricated                    halbgefertigt
semi-finished                      halbfertig
semi-finished article              Halbfertigware
semi-finished good                 Halbfertigerzeugnis, Halbfertigware
semi-finished good                 Halbfertigprodukt, Halbfertiggut
semi-manufactured goods            Halbfertigware
semi-monthly                       halbmonatlich
semi-official                      halbamtlich
semi-skilled                       angelernt
semi-skilled employee              Anlernkraft
semi-skilled labour                angelernter Arbeiter, angelernte Arbeitskraft
semi-skilled occupation            Anlernberuf
semi-skilled worker                angelernter Arbeiter, angelernte Arbeitskraft
senate                             Senat
senator                            Senator
send                               senden, schicken
send a letter                      Brief senden
send a message                     Nachricht senden
send a messenger                   Boten schicken
send a signal                      signalisieren
send for acceptance                zum Akzept senden
send on a course                   auf Lehrgang schicken
send one's love                    herzlich grüßen
send to prison                     ins Gefängnis stecken
sender                             Absender
sending country                    Abgabeland, Entsendeland
sending goods to another country   Versendung von Waren in ein anderes Land
senior                             senior
senior employee                    älterer, erfahrener Angestellter
senior employees                   Arbeitskräfte mit längerer Zugehörigkeit
senior employees                   schon länger beschäftige Arbeitskräfte (US)
senior mortgage                    vorrangige Hypothek
senior workers                     Arbeitskräfte mit längerer Zugehörigkeit
seniority                          Dauer des Beschäftigungsverhältnisses
seniority                          Dienstalter, Dauer der Betriebszugehörigkeit
sensation                          Sensation, Empfindung, Gefühl, Sinneseindruck
sensational                        sensationell, aufsehenerregend
sense                              Sinn
senseless                          besinnungslos
sensibility                        Empfindungsvermögen, Empfindsamkeit
sensible                           vernünftig
sensible person                    vernünftige Person
sensibleness                       Vernünftigkeit
sensitive                          empfindlich
sensitive to cyclical fluctuations konjunkturempfindlich
sensitivity                        Zartgefühl, Empfindlichkeit
sensitivity training               Bewußtseinstraining
sensual pleasures                  Sinnesfreuden
sensualism                         Sinnenlust
sensualize                         sinnlich machen
sentence                           Satz, Urteil, verurteilen
sentiment                          Gefühl, Empfindelei
sentimental                        sentimental, empfindsam
sentimental damage                 subjektiver Schaden
sentimental value                  Liebhaberwert
sentinel                           Wachposten
separable                          trennbar
separability                       Trennbarkeit
separableness                      Trennbarkeit
separate                           getrennt, trennen
separate from other contracts      getrennt von anderen Verträgen
separate from the sales contracts  getrennt von den Kaufverträgen
separated by that frontier         durch diese Grenze getrennt
separately                         getrennt, besonders, separat
separation                         Trennung, Abgang
separation agreement               Trennungsvereinbarung
separation allowance               Trennungsgeld, Trennungsentschädigung
separation rate                    Abgangsrate
separate estate                    Gütertrennung
sequel                             Folge, Fortsetzung
sequence                           Folge
sequestration                      Beschlagnahme
sequestration order                Beschlagnahmeverfügung
serenade                           Ständchen
serene                             heiter, ruhig, gelassen
serial                             Reihe, Serie
serial number                      Seriennummer
serial production                  Serienfertigung
series                             Reihe, Datenreihe, Zahlenreihe, Serie
series discount                    Serienrabatt
series manufacturing               Serienfertigung
series production                  Chargenfertigung, Serienfertigung
series production                  Chargenfertigung, Serienfertigung
serious                            ernst. ernsthaft, beträchtlich
serious accident                   schwerer Unfall
serious attempt                    ernster Versuch
serious damage                     beträchtlicher Schaden
serious discussion                 tiefgehende Diskussion
serious matter                     schwerwiegende Angelegenheit, ernste Sache
serious music                      ernste Musik
serious newspaper                  ernstzunehmende Zeitung
serious question                   schwierige Frage
serious person                     ernste Person, ernsthafte Person
serious problem                    ernsthaftes Problem
serious suggestion                 ernstgemeinter Vorschlag
seriously                          ernstlich, schwer
seriously disabled                 schwerbeschädigt
seriously disabled person          Schwerbeschädigter
serpent                            Schlange
serpentine                         schlangenartig, sich schlängelnd
servant                            Diener
serve                              dienen, bedienen
serve a purpose                    Zweck erfüllen
serve a sentence                   Strafe verbüßen, Strafe absitzen
serve a warrant                    Haftbefehl zustellen
serve as collateral                zur Deckung dienen
serve as security                  als Sicherheit
serve for a seat                   als Sitz dienen
serve in a business                in einer Firma angestellt sein
serve one's apprenticeship         seine Lehre ableisten
serve one's country                seinem Lande dienen
serve with an answer               mit einer Antwort dienen
server                             Servierbrett, Servierlöffel
service                            Dienst, Dienstleistung, Kundendienst
service                            Dienstverhältnis, Beschäftigung
service area                       Versorgungsgebiet
service charge                     Bedienung, Berechnung der Bedienung
service class                      Laufbahngruppe im öffentlichen Dienst
service completion                 Erledigung der Dienstleistung
service department                 Dienstleistungsabteilung, Kundendienst
service enterprise                 Dienstleistungsunternehmen
service facilities                 Kundendienstanlagen
service grade                      Dienstgrad
service industries                 Dienstleistungsgewerbe
service industry                   Dienstleistungsgewerbe
service industry                   Dienstleistungsunternehmen
service interruption               Bedienungsunterbrechung
service occupation                 Dienstleistungsberuf
service of a writ                  Zustellung einer Klage
service rendered                   geleisteter Dienst
service society                    Dienstleistungsgesellschaft
service station                    Tankstelle, Reparaturstelle
services of a bank                 Dienstleistungen einer Bank
services sector                    Dienstleistungsbereich
services sector                    Dienstleistungsgewerbe
services sector                    Dienstleistungssektor
services to the consumer           Dienstleistungen an den Verbraucher
services to the public             Dienstleistungen an den Bürger
services to the retailer           Dienstleistungen an den Einzelhändler
servicing business                 Dienstleistungsgeschäft
serviceability                     Brauchbarkeit, Zweckdienlichkeit
serviceable                        brauchbar, zweckdienlich
session                            Sitzung, Beratung
set                                setzen
set of rules                       Reihe von Regeln
set off a loss                     Verlust ausgleichen
set terms                          feste Bedingungen
set the pace                       das Tempo bestimmen
set the pace                       das Tempo bestimmen
set up                             vorbereiten
set up                             aufrüsten
set-up                             Aufbau
set-up                             einrichten
set-up time                        Rüstzeit
setting of time standards          Zeitvorgabe
setting-up time                    Rüstzeit
settle                             ansiedeln, beruhigen, ausgleichen, festlegen
settle a balance                   einen Saldo ausgleichen
settle a bill                      eine Rechnung bezahlen
settle a claim                     Schaden regulieren
settle a debt                      eine Schuld begleichen
settle an account                  ein Konto ausgleichen, eine Rechnung bezahlen
settle an account                  ein Konto begleichen
settle an account                  eine Rechnung begleichen
settle down in business            sich im Geschäft niederlassen
settle payments                    Zahlungen leisten
settled                            festgelegt, festgesetzt, entschieden, ruhig
settled character                  ruhiger Charakter
settled weather                    beständiges Wetter
settled account                    bezahlte Rechnung
settlement                         Ausgleich, Liquidation, Abrechnung, Zahlung
settlement                         Beilegung, Begleichung, Schlichtung
settlement                         Niederlassung, Ansiedlung
settlement day                     Abrechnungstag
settlement of a claim              Regulierung eines Schadens
settlement of a debt               Bezahlung einer Schuld
settlement of a dispute            Beilegung einer Streitigkeit
settlement of accounts             Abrechnung der Konten
settlement of accounts             Kontenausgleich
settlement of an account           Ausgleich einer Rechnung
settlement of an account           Begleichung einer Rechnung
settling day                       Abrechnungstag
settling-in allowance              Einarbeitungszuschuss
settling-in allowance              Eingliederungsbeihilfe
settling-in grant                  Einarbeitungszuschuss
settling-in grant                  Eingliederungsbeihilfe
seven days' notice                 siebentägige Kündigungsfrist
sever                              abtrennen
several                            einzelne
several parts                      einzelne Teile
several times                      mehrmals
several points to choose from      mehrere Orte zur Auswahl
severance                          Trennung
severance pay                      Trennungsgeld
severance payment                  Abfindungszahlung bei Entlassung
severance payment                  Kündigungsanreiz bei Freisetzung
severe                             streng, hart, scharf
severe cold                        bittere Kälte, schlimme Erkältung
severe competition                 harter Wettbewerb
severe criticism                   scharfe Kritik
severe discipline                  strenge Disziplin
severe examination                 strenge Prüfung
severe injury                      ernste Verletzung, schwere Verletzung
severe loss                        schwerer Verlust
severe punishment                  harte Bestrafung
severe storm                       starker Sturm
severe test                        strenge Prüfung
severe treatment                   harte Behandlung
severe warning                     ernste Warnung
severely disabled                  schwerbehindert
severely disabled person           Schwerbehinderter
severely handicapped               schwerbehindert
severely handicapped person        Schwerbehinderter
sew                                nähen
sewage                             Abwasserkanal
sewerage                           Kanalisierung
sex                                Geschlecht
sexism                             Sexismus

shabby                             schäbig
shade                              Schattierung, Schatten , beschatten
shadeless                          schattenlos
shadow                             Schatten
shadow economy                     Schattenwirtschaft
shadowy                            schattig
shaft                              Schacht, Schaft
shake                              schütteln, erschüttern, Schütteln
shaky                              zitternd, wackelig, wankend
shall be bound by all obligations  trägt alle Verpflichtungen
shall be bound to reimburse the bank    wird die Bank remboursieren müssen
shall be bound to take up the documents wird die Dokumente aufnehmen müssen
shall be deemed to be              wird angesehen als, gilt als
shall be deemed to be ...          soll als ... angesehen werden
shall be entitled                  berechtigt sein
shall be entitled to               sind berechtigt zu
shall be finally settled           werden endgültig entschieden
shall be incorporated into         sind aufzunehmen in
shall be liable to                 wird haften
shall be provided                  ist vorzusehen
shall be unable to take the goods  außerstande ist die Ware zu übernehmen
shall close earlier                schon früher keine Ladung mehr annimmt
shall cover the price              soll den Preis decken
shall have a reasonable time       soll angemessen Zeit haben
shall have been collected by the carrier vom Frachtführer einbehalten sind
shall have been included in the freight  in der Fracht enthalten sind
shall have failed to arrive        nicht eintrifft
shall make the goods available     soll die Ware zur Verfügung stellen
shall not include                  soll nicht beinhalten
shall take reasonable care to check    soll mit angemessener Sorgfalt prüfen
shall be accompanied by            soll begleitet sein von
shallow                            seicht
shallowness                        Seichtigkeit, Untiefe
sham contract                      Scheinvertrag
sham jewelry                       falscher Schmuck
sham payment                       fingierte Zahlung
sham profit                        Scheingewinn
sham sympathy                      vorgespielte Sympathie
shammer                            Heuchler
shame                              Scham
shampoo                            Haarwaschmittel
shape                              formen, Form
shaped                             geformt, gestaltet
shapeless                          formlos
shapelessness                      Formlosigkeit
shapeliness                        Wohlgestalt, Wohlproportioniertheit
shapely                            wohlgestaltet
share                              Anteil, Aktie
share capital                      Aktienkapital
share certificate                  Aktienzertifikat
share hawking                      mit Aktien hausieren
share in a gold mine               Anteil an einem Goldbergwerk
share in a partnership             Anteil an einer oHG
share in the business              Anteil an der Firma, am Geschäft
share in the capital               Kapitalanteil
share in the company               Anteil an der Firma
share in the company               Geschäftsanteil
share in the profits               Gewinnanteil
shareholder                        Aktionär
shareholders' meeting              Hauptversammlung
shareholdings                      Aktienbesitz
shares market                      Aktienmarkt
shark                              Hai, gieriger Betrüger
sharp fall                         starker Rückgang
sharp rise                         starker Kursanstieg
sharpen                            schärfen
shatter                            zerschmettern, zertrümmern
shave                              rasieren, Rasur
shaver                             Barbier
shaven                             rasiert
shawl                              Schal
shear                              scheren
shed                               vergießen
sheer                              bloß, rein
sheer                              scheren, von der Bahn abweichen
sheet                              Papierbogen
shelf                              Regal, Bücherbrett
shelf life                         Verbleibzeit im Regal
shell                              Schale, Muschel
shelter                            Schutz, Schutzdach
sheltered workshop                 Werkstatt für Behinderte
shelve                             mit Regalen versehen
shelve sth.                        etwas auf die lange Bank schieben
sheriff                            Sheriff
shift                              Schicht, wechseln, verlegen, ändern
shift                              Schicht, verschieben
shift                              Schicht, umschalten auf Großbuchstaben
shift changeover                   Schichtwechsel
shift in demand                    Nachfrageänderung
shift in demand                    Nachfrageverschiebung
shift in demand                    Verschiebung der Nachfrage
shift in supply                    Angebotsänderung
shift in supply                    Angebotsverschiebung
shift in supply                    Verschiebung des Angebots
shift off                          abschieben
shift the blame on others          die Schuld anderen zuschieben
shift work                         Schichtarbeit
shift working                      Schichtarbeit, Arbeiten in Schichten
shifter                            Schichtarbeiter
shiftiness                         Schlauheit
shiftless                          unbeholfen
shifty                             gewandt, verschlagen
shine                              scheinen, Schein
ship                               verschiffen, Schiff
ship broker                        Schiffsmakler
ship owner                         Reeder, Schiffseigentümer
ship's protest                     Seeprotest
ship's sweat                       Schiffsschweiß
shipbuilding shares                Aktien der Schiffsbauindustrie
shipment                           Sendung, Verschiffung, Versendung
shipment on board                  Verladung an Bord
shipment on deck                   Verladung an Deck
shipped                            verschifft
shipped bill of lading             Bord-Konnossement
shipper                            Befrachter, Verlader
shipping                           Verladung
shipping advice                    Versandanzeige
shipping agent                     Schiffsmakler
shipping agent                     Seehafenspediteur
shipping agent                     Verlader
shipping agreement                 Verladevereinbarung
shipping clerk                     Expedient
shipping company                   Schiffahrtsgesellschaft, Reederei
shipping conference                Frachtkonferenz
shipping costs                     Verschiffungskosten
shipping department                Versandabteilunjg
shipping document                  Verladedokument
shipping documents                 Versandpapiere
shipping instructions              Versandanweisungen
shipping order                     Versandauftrag
shipping papers                    Versandpapiere
shipping rate                      Frachtsatz
shipping space                     Frachtraum, Laderaum
shipment                           Verschiffung, Schiffsladung
shire                              Grafschaft
shirt                              Hemd
shiver                             zittern
shock                              schockieren, Schock
shocking                           empörend, unanständig
shoot                              schießen
shop                               Laden, Werkstatt, Betrieb
shop assistant                     Verkäuferin
shop clerk                         Werkstattschreiber
shop committee                     Betriebsrat
shop fabrication                   Werkstattfertigung
shop morale                        Betriebsklima
shop steward                       Betriebsobmann
shop steward                       ehrenamtlicher Gewerkschaftsvertreter
shop steward                       gewerkschaftlicher Vertrauensmann
shop steward                       Vertrauensmann der Arbeiter
shop window advertising            Schaufensterwerbung
shop-soiled                        angestaubt, angeschmutzt
shop-worn                          nur leicht beschädigt, leicht benutzt
shoplifting                        Ladendiebstahl
shopper                            Käufer
shopping                           Einkaufen
shopping bag                       Einkaufsbeutel, Einkaufstasche
shopping centre                    Einkaufszentrum, Ladenstraße
shopping habits                    Einkaufsgewohnheiten
shopping hours                     Ladenstunden
shopping-bag                       Einkaufstasche
shore                              Ufer
short                              kurz, knapp
short bill                         Wechsel auf kurze Sicht
short dated                        kurzfristig
short delay                        kurze Verzögerung
short delivery                     Minderlieferung
short delivery                     Mindestauslieferung
short form                         Kurzform
short hedge                        kurze Terminsicherung
short list                         Liste der engeren Wahl
short of capital                   knapp an Kapital
short of cash                      in Verlegenheit
short of money                     knapp an Geld
short of sth.                      Mangel an  etwas
short period cover                 kurzfristige Deckung
short shipment                     unvollständige Verschiffung
short term                         kurzfristig
short weight                       Untergewicht
short-dated                        kurzfristig
short-dated bill                   kurzfristiger Wechsel
short-dated bill                   Wechsel auf kurze Sicht
short-distance hauling             Güternahverkehr
short-landed goods                 nichtgelandete Ware
short-maturing securities          kurzfristige Anlagewerte
short-run                          kurzfristig, befristet, auf kurze Sicht
short-run analysis                 Kurzzeitanalyse
short-run behaviour                Kurzzeitverhalten
short-run behaviour                Kurzzeitverhalten
short-shipped goods                nichtgelieferte Ware
short-term                         kurzfristig
short-term                         kurzfristig, befristet, auf kurze Sicht
short-term credit                  Kredit mit kurzer Laufzeit
short-term debt                    kurzfristige Verschuldung
short-term indebtedness            kurzfristige Verschuldung
short-term interest rate           Zinssatz für kurzfristige Anleihen
short-term money                   kurzfristiges Geld
short-term objective               Nahziel
short-term obligations             kurzfristige Verbindlichkeiten
short-term orders                  Aufträge zur umgehenden Ausführung
short-time                         kurz
short-time allowance               Kurzarbeitergeld
short-time compensation            Kurzarbeitergeld
short-time work                    Kurzarbeit, Teilzeitbeschäftigung
short-time worker                  Kurzarbeiter, Teilzeitbeschäftigter
short-time working benefit         Kurzarbeitergeld
shortage                           Mangel, Knappheit
shortage                           Verknappung
shortage occupation                Mangelberuf
shortage of capital                Kapitalmangel
shortage of jobs                   Arbeitsplatzmangel
shortage of jobs                   Knappheit an Arbeitsplätzen
shortage of jobs                   Mangel an Arbeitsplätzen
shortage of labour                 Arbeitskräftedefizit
shortage of labour                 Arbeitskräftemangel
shortage of labour                 Mangel an Arbeitskräften
shortage of manpower               Arbeitskräftemangel
shortage of manpower               Personalmangel, Personalknappheit
shortage of material               Materialmangel
shortage of money                  Geldmangel
shortage of staff                  Arbeitskräftemangel, Arbeitskräfteknappheit
shortage of staff                  Personalmangel, Personalknappheit
shorten                            kürzen
shorthand                          Kurzschrift
shorthand typist                   Stenotypistin
shortish                           etwas kurz
shortly                            bald
shot                               Schuss
should a settlement result         sollte ein Vergleich zustande kommen
should an order prohibit sth.      falls ein Auftrag etwas verbietet
should be avoided                  sollte vermieden werden
should be excluded                 sollten ausgeschlossen werden
should be extremely cautious       sollten äußerst vorsichtig sein
should be made clear               sollte deutlich gemacht werden
should bear the address            sollen die Anschrift tragen, enthalten
should clearly and fully indicate  sollte klar und vollständig angeben
should clearly indicate            sollen eindeutig angeben
should clearly indicate that       soll eindeutig angeben, daß
should discourage any attempt to   sollten jedem Versuch entgegentreten
should endeavour to ascertain the reasons soll versuchen den Grund festzustellen
should give specific instrunctions sollte spezielle Weisungen enthalten
should he fail to give instructions sollte er es versäumen Anweisungen zu geben
should he fail to provide          falls er es versäumt
should keep clearly in mind        sollten nicht außer acht lassen
should not be consigned to         sollten nicht versandt werden an
should not be dispatched direct    sollten nicht direkt versandt werden
should specify                     sollten angeben
shoulder                           Schulter
shout                              rufen, schreien
shove                              schieben
shovel                             Schaufel
shovelful                          schaufelvoll
show                               zeigen, ausstellen, Ausstellung
show                               zeigen, Show
show business                      Show Business, Unterhaltungsgewerbe
show of hands                      durch Handzeichen
show room                          Ausstellungsraum
show-case                          Vitrine
shower                             Schauer
showery                            regnerisch
showiness                          Gepränge
showy                              prunkend, prahlerisch
showroom                           Musterzimmer
shrewish                           zänkisch
shrewd                             scharf unterscheidend
shrink                             zusammenschrumpfen, zurückschrecken
shrinkage                          Schrumpfen, Minderung
shrinkage in value                 Wertminderung
shrub                              Strauch
shrug one's shoulders              mit den Achseln zucken
shudder                            schaudern, Schauder
shuffle                            durcheinander mischen
shut                               schließen
shut down                          schließen, zumachen
shut-down time                     Abrüstzeit bei Arbeitsschluss
shut in                            einschließen, einsperren
shut off                           absperren
shut out                           ausschließen
shut up                            verschließen
shy                                scheu, schüchtern
shyness                            Schüchternheit

sick                               krank
sick benefit                       Krankengeld
sick leave                         Krankheitsurlaub
sick pay                           Krankengeld
sickliness                         Kränklichkeit
sickly                             kränklich
sickness                           Krankheit
sickness allowance                 Krankengeld
sickness benefit                   Krankengeld
sickness benefits                  Krankengeld
sickness fund                      Krankenkasse
sickness insurance                 Krankenversicherung
sickness insurance contribution    Krankenversicherungsbeitrag
sickness insurance funds           Krankenkassen
side                               Seite
side drawer                        Seitenschublade
side-effect                        Nebenwirkung
sideline                           Nebenbeschäftigung
siege                              Belagerung
siesta                             Mittagsruhe
sieve                              Sieb, sieben
sight                              Sicht, in Sicht bekommen
sight bill                         Sichttratte, Sichtwechsel
sight deposit                      Sichteinlage
sight draft                        Sichttratte
sight payment                      Sichtzahlung
sighting a bill                    Vorlage eines Wechsels zum Akzept
sightseeing tour                   Besichtigungsfahrt
sign                               Zeichen, zeichnen, unterschreiben
sign a contract                    einen Vertrag unterzeichnen
sign a contract                    Vertrag unterzeichnen
sign in full                       mit vollem Namen unterzeichnen
sign personally                    eigenhändig unterschreiben
signal                             Signal, signalisieren
signatory                          Unterzeichner
signature                          Unterschrift
signature card                     Karte für Probeunterschrift
signature card                     Unterschriftenkarte
signature is  missing              es fehlt die Unterschrift
signed or initialled               unterschrieben oder mit Handzeichen versehen
signet                             Firmensiegel
significance                       Bedeutung
significant                        bedeutungsvoll, wichtig
significant deviation              wesentliche Abweichung
significant difference             signifikanter Unterschied, bezeichnender
signify                            bedeuten
silence                            Stille
silent                             still
silent consent                     stillschweigende Zustimmung
silent partner                     stiller Teilhaber
silhouette                         Umriß, Silhouette
silk                               Seide
sill                               Schwelle
silly                              einfältig, töricht
silver                             Silber, Tafelsilber
silver coin                        Silbermünze
silver coins                       Silbermünzen
similar                            ähnlich, gleichartig
similar credit                     gleiches Akkreditiv
similar documents                  ähnliche Dokumente
similar expressions                ähnliche Fassungen
similar in terms                   zu gleichen Bedingungen
similarly                          in gleicher Weise
simple                             einfach
simple average                     einfache Havarie
simple contract                    einfacher Vertrag
simple contract debts              Schulden aus einem Vertrag
simple interest                    einfache Verzinsung
simple interest                    einfache Zinsen
simple majority                    einfache Mehrheit
simple timing                      einfache Zeitmessung
simplification                     Typenbeschränkung
simplification                     Typenbeschränkung
simplification                     Vereinfachung
simplified                         vereinfacht
simplified practices               vereinfachte Praxis
simply and safely                  sicher und einfach  (adv.)
simulate                           simulieren
simulated transaction              Scheingeschäft
simulation                         Simulierung
simultaneous                       gleichzeitig
since                              da
since 1980                         seit 1980
since their introduction in        seit deren Einführung im Jahre
sincere                            aufrichtig
sincere thanks                     aufrichtiger Dank
sincere thanks are given to all    allen sei herzlich gedankt
sing                               singen
singe                              sengen
single                             einzeln, einzig
single                             ledig
single column                      Einzelspalte
single entry bookkeeping           einfache Buchführung
single item                        Einzelposten
single line store                  Fachgeschäft (US)
single option                      einfaches Prämiengeschäft
single premium                     Einmalprämie
single premium                     Einzelprämie
single-coloured                    einfarbig
